Potential_temperature_C,Practical_salinity,Potential_density_anomaly_kgm3,Pressure_decibar,Serial_date_number_base_date_1_January_0000,Longitude,Latitude,Bottom_Depth_m
2.018509466,34.83680973,27.84249855,1767.2,731993,-36.50833333,63.555,1784
1.805617852,34.84158493,27.8631049,1766.6,731994,-36.50833333,63.555,1784
1.785627574,34.84244861,27.86534334,1766.2,731995,-36.50833333,63.555,1784
1.91250934,34.83235646,27.84735647,1765.9,731996,-36.50833333,63.555,1784
1.847899195,34.83650316,27.85574493,1765.9,731997,-36.50833333,63.555,1784
1.529022452,34.85013677,27.89091061,1766,731998,-36.50833333,63.555,1784
2.160473921,34.84556178,27.83799681,1766.4,731999,-36.50833333,63.555,1784
2.000067913,34.8444261,27.8500745,1766.9,732000,-36.50833333,63.555,1784
1.843046419,34.84379323,27.86196576,1767.1,732001,-36.50833333,63.555,1784
2.538337843,34.87690726,27.8311879,1767.7,732002,-36.50833333,63.555,1784
2.134478672,34.85006748,27.84373113,1768.1,732003,-36.50833333,63.555,1784
2.192289308,34.85364423,27.84185198,1767.8,732004,-36.50833333,63.555,1784
1.692539293,34.84126063,27.87152587,1767.4,732005,-36.50833333,63.555,1784
2.190983303,34.83993335,27.83098581,1767.4,732006,-36.50833333,63.555,1784
2.181478008,34.85755697,27.84587344,1767.2,732007,-36.50833333,63.555,1784
2.253504767,34.85724633,27.83966667,1766.9,732008,-36.50833333,63.555,1784
2.189757698,34.84319744,27.83369878,1766.6,732009,-36.50833333,63.555,1784
2.005303728,34.82260496,27.83217935,1766.4,732010,-36.50833333,63.555,1784
1.98040772,34.84459419,27.85177815,1766.1,732011,-36.50833333,63.555,1784
2.309895659,34.85587381,27.83385832,1766.1,732012,-36.50833333,63.555,1784
1.597925875,34.82937018,27.86912647,1765.9,732013,-36.50833333,63.555,1784
1.386494026,34.83293581,27.88751918,1765.9,732014,-36.50833333,63.555,1784
1.435985075,34.82869877,27.88053448,1766.2,732015,-36.50833333,63.555,1784
1.881566617,34.83536455,27.85219961,1766.7,732016,-36.50833333,63.555,1784
1.748807972,34.83297454,27.86058425,1767,732017,-36.50833333,63.555,1784
1.967372813,34.84758913,27.85521555,1767.4,732018,-36.50833333,63.555,1784
1.897925811,34.84773279,27.86082461,1767.6,732019,-36.50833333,63.555,1784
2.28729553,34.84839816,27.82977025,1767.7,732020,-36.50833333,63.555,1784
2.538631355,34.87200319,27.8272423,1767.9,732021,-36.50833333,63.555,1784
2.110889347,34.84775143,27.84379926,1767.2,732022,-36.50833333,63.555,1784
2.132426923,34.84658992,27.84111416,1766.8,732023,-36.50833333,63.555,1784
2.576754285,34.86618006,27.8192706,1766.4,732024,-36.50833333,63.555,1784
2.064335444,34.85104867,27.85021256,1765.9,732025,-36.50833333,63.555,1784
